CustomerID,SimilarCustomerID,SimilarityScore
C0001,C0004,0.9359657032504126
C0001,C0064,0.8400515478605018
C0001,C0018,0.8182137345286215
C0002,C0159,0.9986891355688283
C0002,C0133,0.8767967315767442
C0002,C0062,0.8760795909332815
C0003,C0031,0.9933752429481142
C0003,C0158,0.988962047666084
C0003,C0026,0.8773806610586597
C0004,C0001,0.9359657032504126
C0004,C0065,0.8467627660736827
C0004,C0018,0.8395160617219704
C0005,C0197,0.9219277235166056
C0005,C0163,0.871343505818895
C0005,C0097,0.131788237494466
C0006,C0187,0.9990439153187559
C0006,C0079,0.8599525275229462
C0006,C0135,0.8571980023916428
C0007,C0140,0.995975884775833
C0007,C0095,0.8758435167251591
C0007,C0199,0.8749774747617678
C0008,C0145,0.8929807843406585
C0008,C0045,0.8907098281673732
C0008,C0075,0.8870219625318357
C0009,C0092,0.9059889506182395
C0009,C0072,0.8978632363957381
C0009,C0060,0.16216302429726717
C0010,C0132,0.995224056908806
C0010,C0061,0.9888548859028125
C0010,C0142,0.8746997603753642
C0011,C0032,0.9597447440863529
C0011,C0094,0.8829506771429656
C0011,C0156,0.8277767119132673
C0012,C0082,0.06835591491920655
C0012,C0087,0.05930570945830298
C0012,C0004,0.05834181536215203
C0013,C0101,0.8464432358668473
C0013,C0105,0.8426455712626161
C0013,C0034,0.8078104670182473
C0014,C0060,0.9997836822112784
C0014,C0089,0.9694374179593522
C0014,C0151,0.8503991901910911
C0015,C0038,0.9599507785507269
C0015,C0123,0.842532158010608
C0015,C0073,0.826433838564725
C0016,C0107,0.9250394838488359
C0016,C0192,0.9188942266441844
C0016,C0050,0.07465976023358621
C0017,C0190,0.9409204763013777
C0017,C0141,0.09985883045210131
C0017,C0075,0.08964299707680635
C0018,C0065,0.9471718928392535
C0018,C0004,0.8395160617219704
C0018,C0064,0.8232929176131308
C0019,C0112,0.8428719854570923
C0019,C0191,0.84113267611985
C0019,C0125,0.8310632746020508
C0020,C0130,0.930297448574641
C0020,C0120,0.9173784446672067
C0020,C0015,0.14073024399145356
